model,episodes,final_avg_reward,final_win_rate,final_avg_steps,training_time,reward_improvement,final_avg_q_value,final_min_q_value,final_max_q_value,final_rolling_avg_q_value,final_rolling_min_q_value,final_rolling_max_q_value
fixed,5460,531.532967032967,0.038461538461538464,144.92307692307693,5460,706.45,92.90744463919414,-274.90882690567764,182.3203066117216,92.746889082326,-274.9272327698901,182.04938048315017
progressive,5460,679.2564102564103,0.2948717948717949,169.47069597069597,5460,871.255,91.4160173956044,-210.6411871809524,188.090133021978,90.12615659626373,-211.6487155058553,187.3909775342491
domain_random,5460,574.3891941391942,0.17032967032967034,160.25824175824175,5460,852.03,93.18569204542125,-225.84985524432233,183.23328232600736,96.28021297609891,-226.9600932080513,183.1273915241758
random,5460,495.68131868131866,0.07326007326007326,170.11904761904762,5466,703.1600000000001,85.12461833443224,-244.02192376446888,180.48276034798536,85.23812815644689,-242.44418052852012,180.20673965054942
