episode,total_reward,avg_q_value,min_q_value,max_q_value,win,steps,epsilon
108,-134.5,-0.73638827,-4.935599,1.7132803,0,17,0.6264000000000001
109,-138.5,2.842083,-1.5372276,7.2937236,0,18,0.6241333333333333
110,-136.5,-3.2822456,-9.199715,0.08827065,0,23,0.6212
111,-89.0,1.8630877,-8.283211,11.988672,0,132,0.6037333333333333
112,-108.0,9.063053,-3.5381422,24.703886,0,45,0.5978666666666667
113,-90.5,-0.48388687,-12.748847,20.827082,0,98,0.5849333333333333
114,-68.5,-3.5895693,-10.8464365,21.115538,0,72,0.5754666666666667
115,-108.0,2.0671542,-7.740616,17.209213,0,33,0.5711999999999999
116,-189.0,8.512302,-3.7155294,27.751007,0,31,0.5671999999999999
117,-103.0,2.4717016,-7.873747,30.710337,0,94,0.5548
118,-156.0,15.0592375,-2.0531597,34.00782,0,14,0.5530666666666666
119,-192.0,2.5593896,-9.305381,33.196377,0,189,0.528
120,-46.5,1.7769397,-3.4614122,18.808477,0,49,0.5216000000000001
121,-124.5,9.753265,-0.41870943,31.99525,0,33,0.5173333333333333
122,-141.5,11.25711,-4.96409,32.227085,0,15,0.5154666666666667
123,-135.5,4.7058735,-36.64632,24.52415,0,57,0.508
124,124.5,1.114208,-4.7557063,28.841896,0,191,0.4826666666666667
125,-106.0,7.2983804,-1.1505023,30.184254,0,18,0.48040000000000005
126,-86.5,0.69313586,-7.2577777,28.300726,0,41,0.47506666666666664
127,-41.0,3.2111742,-11.123413,28.97871,0,78,0.4648
128,-56.5,-0.5130785,-6.407382,31.42794,0,80,0.4542666666666667
129,-90.0,12.644291,0.009492122,38.364033,0,30,0.4504
130,-122.0,3.269437,-3.9508946,36.61298,0,88,0.43879999999999997
131,-190.5,7.309169,-3.6281736,46.191334,0,114,0.4237333333333333
132,135.0,-2.395073,-46.779976,41.81406,0,286,0.3857333333333334
133,-150.0,7.469691,-6.8489165,49.308186,0,314,0.344
134,-60.0,20.629505,0.6030646,49.77892,0,67,0.33520000000000005
135,-87.5,19.02478,5.2001567,55.782593,0,88,0.3236
136,-38.0,19.196095,-1.6122382,58.053425,0,34,0.31920000000000004
137,9.5,11.403786,-1.3801862,54.56217,0,116,0.3038666666666666
138,-56.5,14.531676,-3.3397882,62.275696,0,42,0.2984
139,-31.5,18.501526,0.9523275,45.663296,0,141,0.2797333333333333
140,-107.0,29.785673,11.512105,67.162346,0,35,0.2752
141,-16.0,23.714598,4.511855,58.56811,0,115,0.26
142,-135.5,23.79988,6.3697624,67.05304,0,22,0.2572
143,-113.5,26.39111,7.8610535,58.26567,0,20,0.2546666666666667
144,-118.5,19.85593,2.6932056,54.778748,0,160,0.2334666666666667
145,-141.5,37.708336,6.093005,66.72065,0,10,0.23226666666666662
146,-78.5,9.555076,-5.4195385,63.067883,0,63,0.22399999999999998
147,-56.5,17.793076,0.6667805,58.430614,0,54,0.2169333333333333
148,-13.5,5.552641,-10.209196,68.90096,0,107,0.20279999999999998
149,-39.0,13.640708,-3.649276,68.99087,0,65,0.1942666666666667
150,-53.0,26.881424,4.630978,59.137974,0,50,0.1877333333333333
151,-94.5,47.842422,19.673174,72.26143,0,14,0.18600000000000005
152,-94.5,30.184782,-4.7798686,57.29362,0,18,0.1837333333333333
153,-75.5,-1.2785454,-25.38111,56.887253,0,263,0.14880000000000004
154,-64.0,36.909943,3.1958082,68.730415,0,28,0.1452
155,-123.5,46.32698,18.179924,75.07666,0,10,0.14400000000000002
156,-109.5,48.108257,9.584333,73.829994,0,18,0.14173333333333338
157,-42.0,24.367466,3.7466247,61.24082,0,21,0.13906666666666667
158,-85.5,45.30642,15.212442,67.40373,0,21,0.13639999999999997
159,-109.5,53.025978,20.39311,75.67806,0,11,0.13506666666666667
160,-10.5,22.031042,-4.782036,76.006775,0,52,0.12826666666666664
161,-138.5,34.84809,-1.0316174,76.49282,0,16,0.12626666666666664
162,-86.0,36.667828,15.954323,56.511463,0,19,0.12386666666666668
163,-119.0,40.07465,-0.08259672,69.01484,0,13,0.12226666666666663
164,-144.0,43.312637,16.346628,72.73312,0,13,0.1206666666666667
165,-28.5,11.687091,-33.911407,68.59529,0,159,0.09960000000000002
166,-86.5,32.648632,1.349715,79.3431,0,29,0.09586666666666666
167,34.5,20.417986,-3.3713794,75.94889,0,45,0.08999999999999997
168,-143.5,11.315609,-7.9005756,77.53714,0,379,0.05
169,-129.5,44.717453,14.74658,69.79996,0,9,0.05
170,76.5,2.4459596,-7.5201964,70.71464,0,238,0.05
171,-135.0,53.86534,25.36306,82.70211,0,11,0.05
172,-93.5,46.156345,8.173987,73.99064,0,18,0.05
173,-43.5,24.59632,-4.1021647,60.964943,0,25,0.05
174,-107.0,34.680496,-1.1770134,62.81817,0,16,0.05
175,-52.5,44.990192,19.483301,72.591576,0,26,0.05
176,-98.5,27.516623,-11.966236,89.89318,0,38,0.05
177,-37.5,23.03002,-1.0235845,83.85804,0,98,0.05
178,2.0,10.830832,-5.8804884,86.190315,0,108,0.05
179,-50.5,28.511051,3.0501149,84.96907,0,60,0.05
180,-38.0,24.818863,2.0058696,86.161224,0,34,0.05
181,-126.0,47.455433,11.807068,73.966286,0,13,0.05
182,-129.5,51.84048,26.53563,72.22891,0,9,0.05
183,-63.0,43.165962,16.979239,75.20822,0,28,0.05
184,-129.5,48.81345,7.191664,78.509705,0,9,0.05
185,-38.5,40.18417,-0.112459585,80.200714,0,49,0.05
186,-131.5,36.155025,-10.703165,84.85563,0,16,0.05
187,-121.5,52.883236,19.406769,78.32347,0,12,0.05
188,-57.0,30.063828,6.04169,74.588066,0,21,0.05
189,-47.5,22.522343,2.466909,74.56746,0,59,0.05
190,-110.0,22.682077,-0.17215027,77.1118,0,124,0.05
191,-87.0,17.288412,-7.116275,79.00048,0,178,0.05
192,-104.0,32.839256,-5.314585,81.5698,0,22,0.05
193,121.0,11.855873,-12.1284075,85.40078,0,65,0.05
194,-130.5,45.73536,18.835041,74.50515,0,10,0.05
195,-100.5,38.597538,5.81939,72.820206,0,18,0.05
196,-73.5,41.392517,17.782837,76.042786,0,15,0.05
197,-123.5,48.43615,10.826003,75.68296,0,10,0.05
198,-96.5,33.775658,12.52837,71.541664,0,42,0.05
199,-76.5,44.86625,-19.77616,77.76849,0,27,0.05
200,-5.0,16.137632,-2.8766723,82.01488,0,78,0.05
201,-118.0,47.852646,6.6302967,76.39715,0,14,0.05
202,-133.5,42.16799,4.0262527,65.65625,0,9,0.05
203,-94.5,41.144894,-1.708303,62.90835,0,14,0.05
204,-27.5,36.110928,8.305686,69.15106,0,30,0.05
205,-118.0,16.318653,-64.048645,79.680435,0,92,0.05
206,-162.5,50.76369,28.31439,79.68546,0,36,0.05
207,-136.5,54.64068,31.753162,80.51588,0,16,0.05
208,-103.5,46.90644,-15.064108,87.08392,0,28,0.05
209,-130.5,51.453785,7.7935514,90.029816,0,10,0.05
210,-96.5,59.211994,13.354018,89.44968,0,16,0.05
211,-147.5,58.956955,27.582031,87.36327,0,10,0.05
212,-109.5,32.213116,1.7845136,79.19128,0,16,0.05
213,-134.5,40.512825,-2.2636137,72.684135,0,10,0.05
214,-111.5,38.624893,-12.618667,69.807335,0,16,0.05
215,-104.5,48.711792,14.179516,74.86308,0,15,0.05
216,-48.5,38.620106,-6.626723,79.8567,0,24,0.05
217,-111.5,47.37767,7.33663,89.802505,0,18,0.05
218,-99.5,56.706177,24.209948,83.27122,0,12,0.05
219,-66.0,34.41959,-0.2304166,80.28549,0,24,0.05
220,-17.5,15.320433,-9.502364,75.07632,0,84,0.05
221,-24.0,9.333304,-10.232142,80.75738,0,79,0.05
222,-152.5,45.36756,25.997538,67.041725,0,11,0.05
223,-128.5,37.41762,-1.2214198,62.736843,0,13,0.05
224,-134.5,49.652992,24.326786,65.061806,0,10,0.05
225,-33.0,33.281082,11.918165,67.914696,0,37,0.05
226,-60.5,43.90964,-0.12553942,86.1316,0,20,0.05
227,-119.5,66.27726,5.97117,97.82615,0,13,0.05
228,-46.5,37.54565,5.9211135,90.6743,0,39,0.05
229,-21.5,24.840235,-5.457407,76.62542,0,34,0.05
230,-52.0,26.41802,-2.3152719,73.64341,0,28,0.05
231,56.5,15.956331,-8.082663,87.37558,0,56,0.05
232,-124.5,57.99494,26.557425,78.67819,0,11,0.05
233,-49.5,40.576767,-6.2955837,86.36187,0,23,0.05
234,43.0,12.1283865,-2.3635926,91.00681,0,96,0.05
235,-160.5,44.440075,16.687647,81.282875,0,15,0.05
236,-134.5,61.161076,21.15792,90.58611,0,10,0.05
237,25.5,21.9429,-2.1455243,92.68478,0,41,0.05
238,-18.0,29.608736,-4.3537116,87.736145,0,30,0.05
239,-40.0,38.380833,-7.4281483,80.509384,0,23,0.05
240,-64.5,42.093803,4.711231,76.270676,0,20,0.05
241,-147.5,47.832806,9.320099,76.76126,0,10,0.05
242,-32.5,34.09504,8.744904,70.84038,0,28,0.05
243,-20.0,29.662313,2.346717,77.08878,0,33,0.05
244,40.0,39.2048,0.19249484,94.82527,0,35,0.05
245,-129.5,65.48095,33.682503,91.60366,0,9,0.05
246,46.0,21.806868,1.7110769,92.620476,0,40,0.05
247,13.5,34.782497,-0.5813023,87.17415,0,40,0.05
248,-38.5,37.897755,4.3442874,84.38773,0,27,0.05
249,-33.5,44.011715,11.60653,83.65185,0,24,0.05
250,-98.0,48.72146,-2.2686095,88.82165,0,51,0.05
251,-89.0,30.092354,-9.890384,80.566986,0,30,0.05
252,-72.5,39.666336,11.741654,76.58271,0,23,0.05
253,23.0,17.763027,-2.7778778,82.03992,0,129,0.05
254,-11.0,30.87385,2.842248,90.26969,0,41,0.05
255,-33.5,46.210266,4.3336887,83.428665,0,26,0.05
256,-65.5,30.364655,-14.441234,89.93035,0,38,0.05
257,-37.5,32.988144,-0.739802,83.46766,0,33,0.05
258,93.0,21.718355,-2.5675154,103.952156,0,100,0.05
259,-137.0,64.187164,24.445137,81.57802,0,13,0.05
260,-72.0,44.089485,1.3955894,89.679375,0,23,0.05
261,-8.5,36.21519,-0.031596065,92.186035,0,45,0.05
262,81.0,18.206257,-4.6490607,91.75459,0,74,0.05
263,56.0,31.529419,5.3465586,77.23393,0,42,0.05
264,27.0,13.978295,-6.9099154,112.63767,0,86,0.05
265,10.5,14.819864,-5.475258,86.63601,0,89,0.05
